Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
63,3/13/19,63,24-112,TOR_LW,,CHI,L,1,1,2,1,0,1,0,0,0,1,0,0,5,20,23,17:32,2,0,0,0,
64,3/15/19,64,24-114,TOR_LW,,PHI,W,0,1,1,1,2,0,0,0,0,1,0,0,3,0,28,17:52,0,0,0,0,
65,3/16/19,65,24-115,TOR_LW,@,OTT,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,20,15:50,0,1,0,0,
66,3/19/19,66,24-118,TOR_LW,@,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,15:20,1,1,0,0,
67,3/20/19,67,24-119,TOR_LW,@,BUF,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0,22,15:01,2,1,0,0,
68,3/23/19,68,24-122,TOR_LW,,NYR,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,24,17:03,1,0,0,0,
69,3/25/19,69,24-124,TOR_LW,,FLA,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0,22,14:49,2,3,0,0,
70,3/27/19,70,24-126,TOR_LW,@,PHI,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,2,0,26,17:53,1,0,0,0,
71,3/30/19,71,24-129,TOR_LW,@,OTT,L,0,0,0,-1,4,0,0,0,0,0,0,0,2,0,21,14:54,3,0,0,0,
72,4/4/19,72,24-134,TOR_LW,,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,20,12:57,1,0,0,0,
73,4/6/19,73,24-136,TOR_LW,@,MTL,L-SO,0,1,1,-1,0,0,0,0,0,1,0,0,3,0,24,17:27,0,0,0,0,
1,3/14/18,1,23-113,TOR_LW,,DAL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,14,7:34,1,0,0,0,
2,3/17/18,2,23-116,TOR_LW,,MTL,W,1,0,1,1,0,1,0,0,0,0,0,0,7,14.3,20,13:38,0,1,0,0,
3,3/20/18,3,23-119,TOR_LW,@,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,15:40,1,0,0,0,
4,3/22/18,4,23-121,TOR_LW,@,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:22,0,0,1,0,100
5,3/24/18,5,23-123,TOR_LW,,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,21,13:00,0,1,0,1,0
6,3/26/18,6,23-125,TOR_LW,,BUF,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,18,12:15,0,0,0,1,0
7,3/28/18,7,23-127,TOR_LW,,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,9:49,2,1,1,1,50
8,3/30/18,8,23-129,TOR_LW,@,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,9:04,1,0,0,1,0
9,4/2/18,9,23-132,TOR_LW,,BUF,W,1,1,2,1,0,1,0,0,0,0,1,0,3,33.3,20,14:56,0,2,0,0,
