Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
37,1/20/18,37,29-254,BOS_LW,@,MTL,W,0,2,2,4,0,0,0,0,0,2,0,0,3,0,24,17:42,1,0,0,1,0
38,1/23/18,38,29-257,BOS_LW,,NJD,W,1,1,2,0,0,1,0,0,1,0,1,0,4,25,24,20:06,2,0,2,0,100
39,2/7/18,39,29-272,BOS_LW,@,NYR,W,0,1,1,2,0,0,0,0,0,0,0,1,2,0,20,17:05,0,1,0,0,
40,2/10/18,40,29-275,BOS_LW,,BUF,L,0,1,1,-2,0,0,0,0,0,1,0,0,0,,20,17:36,0,0,0,0,
41,2/11/18,41,29-276,BOS_LW,@,NJD,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0,28,19:55,0,0,0,0,
42,2/13/18,42,29-278,BOS_LW,,CGY,W,0,1,1,0,2,0,0,0,0,1,0,0,3,0,23,19:15,0,0,0,1,0
43,2/17/18,43,29-282,BOS_LW,@,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,19,20:03,1,0,1,1,50
44,2/19/18,44,29-284,BOS_LW,@,CGY,W,1,0,1,2,0,1,0,0,1,0,0,0,3,33.3,27,21:38,0,0,0,3,0
45,2/20/18,45,29-285,BOS_LW,@,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,5,0,23,19:43,2,0,1,0,100
46,2/24/18,46,29-289,BOS_LW,@,TOR,L,2,0,2,2,0,2,0,0,0,0,0,0,5,40,22,18:36,1,0,1,0,100
47,2/25/18,47,29-290,BOS_LW,@,BUF,L,0,1,1,0,2,0,0,0,0,1,0,0,2,0,24,18:43,0,1,0,0,
48,2/27/18,48,29-292,BOS_LW,,CAR,W,0,0,0,1,2,0,0,0,0,0,0,0,2,0,23,17:50,2,0,2,0,100
49,3/1/18,49,29-294,BOS_LW,,PIT,W,0,2,2,0,2,0,0,0,0,1,1,0,1,0,22,17:02,1,0,0,1,0
50,3/3/18,50,29-296,BOS_LW,,MTL,W,1,0,1,0,0,1,0,0,1,0,0,0,2,50,25,21:04,1,0,3,1,75
