Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
30,12/16/17,30,21-205,BOS_RW,,NYR,L-OT,0,1,1,0,0,0,0,0,0,0,1,0,2,0,23,17:51,1,0,0,0,
31,12/18/17,31,21-207,BOS_RW,,CBJ,W,0,1,1,2,0,0,0,0,0,1,0,0,2,0,16,15:43,0,0,0,1,0
32,12/19/17,32,21-208,BOS_RW,@,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,18:15,0,1,0,0,
33,12/21/17,33,21-210,BOS_RW,,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24,19:08,0,0,0,1,0
34,12/23/17,34,21-212,BOS_RW,,DET,W,0,2,2,0,0,0,0,0,0,1,1,0,3,0,19,14:22,0,0,0,0,
35,12/27/17,35,21-216,BOS_RW,,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,19:51,0,1,0,0,
36,12/28/17,36,21-217,BOS_RW,@,WSH,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,22,21:07,1,0,0,0,
37,12/30/17,37,21-219,BOS_RW,@,OTT,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0,18,12:29,0,1,0,0,
38,1/2/18,38,21-222,BOS_RW,@,NYI,W,0,1,1,2,2,0,0,0,0,1,0,0,5,0,19,12:40,1,1,0,0,
39,1/6/18,39,21-226,BOS_RW,,CAR,W,1,2,3,3,2,0,1,0,0,2,0,0,2,50,17,13:00,0,0,0,0,
40,1/7/18,40,21-227,BOS_RW,@,PIT,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,1,100,20,17:53,1,0,0,0,
41,1/13/18,41,21-233,BOS_RW,@,MTL,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0,23,17:00,2,1,0,0,
42,1/15/18,42,21-235,BOS_RW,,DAL,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,3,0,28,23:18,1,1,0,0,
43,1/17/18,43,21-237,BOS_RW,,MTL,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25,20,14:57,2,0,0,0,
44,1/18/18,44,21-238,BOS_RW,@,NYI,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,18,14:09,1,0,0,0,
45,1/20/18,45,21-240,BOS_RW,@,MTL,W,2,1,3,3,0,2,0,0,0,1,0,0,8,25,21,16:35,0,1,0,0,
46,1/23/18,46,21-243,BOS_RW,,NJD,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0,20,16:16,2,0,0,0,
47,1/25/18,47,21-245,BOS_RW,@,OTT,W,0,1,1,0,0,0,0,0,0,0,1,0,4,0,20,15:06,1,1,0,2,0
48,1/30/18,48,21-250,BOS_RW,,ANA,L,0,1,1,-1,0,0,0,0,0,1,0,0,4,0,26,22:22,1,1,0,1,0
49,2/1/18,49,21-252,BOS_RW,,STL,W,0,1,1,-1,0,0,0,0,0,0,1,0,2,0,20,15:18,1,0,0,0,
50,2/3/18,50,21-254,BOS_RW,,TOR,W,1,0,1,1,2,0,1,0,1,0,0,0,3,33.3,21,16:00,0,0,0,0,
51,2/6/18,51,21-257,BOS_RW,@,DET,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0,19,17:30,0,0,0,0,
52,2/7/18,52,21-258,BOS_RW,@,NYR,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0,19,18:21,0,2,0,0,
53,2/10/18,53,21-261,BOS_RW,,BUF,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,20,18:17,0,1,0,0,
54,2/11/18,54,21-262,BOS_RW,@,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,13:42,2,0,0,0,
55,2/13/18,55,21-264,BOS_RW,,CGY,W,0,0,0,-1,2,0,0,0,0,0,0,0,2,0,13,12:02,2,0,0,0,
56,2/17/18,56,21-268,BOS_RW,@,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,18,20:23,1,0,0,0,
57,2/19/18,57,21-270,BOS_RW,@,CGY,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25,23,18:38,0,3,0,0,
58,2/20/18,58,21-271,BOS_RW,@,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,18:46,1,0,0,0,
59,2/24/18,59,21-275,BOS_RW,@,TOR,L,0,2,2,2,0,0,0,0,0,2,0,0,0,,21,18:41,2,0,0,0,
60,2/25/18,60,21-276,BOS_RW,@,BUF,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0,21,17:52,1,1,0,0,
61,2/27/18,61,21-278,BOS_RW,,CAR,W,0,0,0,0,4,0,0,0,0,0,0,0,3,0,19,14:35,2,0,0,0,
62,3/1/18,62,21-280,BOS_RW,,PIT,W,1,2,3,1,2,1,0,0,0,2,0,0,4,25,20,15:13,0,0,0,0,
