Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
39,12/29/17,39,20-238,TOR_RW,@,COL,L-OT,0,0,0,1,2,0,0,0,0,0,0,0,3,0,27,16:12,0,0,1,0,100
40,12/31/17,40,20-240,TOR_RW,@,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,22,17:40,0,0,0,0,
41,1/2/18,41,20-242,TOR_RW,,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,22,16:44,0,0,0,0,
42,1/4/18,42,20-244,TOR_RW,,SJS,W,0,1,1,0,4,0,0,0,0,0,1,0,2,0,22,16:00,0,0,0,0,
43,1/6/18,43,20-246,TOR_RW,,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,16:28,0,0,1,1,50
44,1/8/18,44,20-248,TOR_RW,,CBJ,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,14:53,0,0,2,0,100
45,1/10/18,45,20-250,TOR_RW,,OTT,L,0,1,1,0,0,0,0,0,0,1,0,0,4,0,28,18:40,0,1,0,0,
46,1/16/18,46,20-256,TOR_RW,,STL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,20,14:48,0,0,2,0,100
47,1/18/18,47,20-258,TOR_RW,@,PHI,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,0,,21,16:07,0,0,2,0,100
48,1/20/18,48,20-260,TOR_RW,@,OTT,W,1,0,1,-1,0,0,1,0,0,0,0,0,2,50,21,12:17,2,0,1,0,100
49,1/22/18,49,20-262,TOR_RW,,COL,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0,19,14:20,0,0,0,1,0
50,1/24/18,50,20-264,TOR_RW,@,CHI,W,1,0,1,1,2,1,0,0,0,0,0,0,7,14.3,23,17:46,0,1,2,1,66.7
51,1/25/18,51,20-265,TOR_RW,@,DAL,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0,23,14:58,0,0,0,0,
52,1/31/18,52,20-271,TOR_RW,,NYI,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25,19,14:43,1,0,1,0,100
53,2/1/18,53,20-272,TOR_RW,@,NYR,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0,21,15:03,0,0,0,1,0
54,2/3/18,54,20-274,TOR_RW,@,BOS,L,1,0,1,0,0,0,1,0,0,0,0,0,5,20,22,17:53,1,0,0,0,
55,2/5/18,55,20-276,TOR_RW,,ANA,W,1,0,1,-2,0,0,1,0,0,0,0,0,5,20,21,15:29,0,0,0,0,
56,2/7/18,56,20-278,TOR_RW,,NSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,16:51,1,0,0,1,0
57,2/10/18,57,20-281,TOR_RW,,OTT,W,2,3,5,3,0,2,0,0,0,2,1,0,5,40,25,18:34,2,0,0,0,
58,2/12/18,58,20-283,TOR_RW,,TBL,W,0,1,1,-1,0,0,0,0,0,1,0,0,5,0,19,17:42,0,1,0,0,
59,2/14/18,59,20-285,TOR_RW,,CBJ,W,1,1,2,2,0,1,0,0,1,1,0,0,3,33.3,20,15:29,0,0,0,1,0
60,2/17/18,60,20-288,TOR_RW,@,PIT,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0,21,16:56,1,0,0,0,
61,2/18/18,61,20-289,TOR_RW,@,DET,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25,22,15:03,1,0,0,2,0
62,2/20/18,62,20-291,TOR_RW,,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,15:58,1,0,3,1,75
63,2/22/18,63,20-293,TOR_RW,,NYI,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50,23,16:46,0,0,0,1,0
64,2/24/18,64,20-295,TOR_RW,,BOS,W,1,3,4,2,0,1,0,0,0,1,2,0,2,50,24,18:33,2,0,0,0,
65,2/26/18,65,20-297,TOR_RW,@,TBL,L-SO,1,1,2,1,0,1,0,0,0,0,1,0,4,25,25,17:46,0,0,0,0,
66,2/27/18,66,20-298,TOR_RW,@,FLA,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,25,20:49,0,0,0,0,
67,3/3/18,67,20-302,TOR_RW,@,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,24,18:37,1,0,0,0,
68,3/5/18,68,20-304,TOR_RW,@,BUF,L,1,0,1,-2,0,0,1,0,0,0,0,0,5,20,24,18:20,1,0,1,1,50
69,3/10/18,69,20-309,TOR_RW,,PIT,W,1,1,2,0,0,0,1,0,0,0,1,0,3,33.3,23,17:21,0,0,0,1,0
70,3/14/18,70,20-313,TOR_RW,,DAL,W,0,2,2,1,2,0,0,0,0,1,1,0,1,0,26,21:25,0,0,0,0,
71,3/15/18,71,20-314,TOR_RW,@,BUF,W,0,1,1,1,2,0,0,0,0,0,1,0,4,0,25,17:18,1,2,1,0,100
72,3/17/18,72,20-316,TOR_RW,,MTL,W,0,1,1,0,0,0,0,0,0,0,1,0,4,0,24,17:49,0,1,0,0,
73,3/20/18,73,20-319,TOR_RW,@,TBL,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0,26,19:55,1,1,0,0,
74,3/22/18,74,20-321,TOR_RW,@,NSH,W,1,1,2,0,0,0,1,0,0,0,1,0,3,33.3,24,15:32,0,1,0,1,0
75,3/24/18,75,20-323,TOR_RW,,DET,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0,24,18:46,0,2,0,0,
76,3/26/18,76,20-325,TOR_RW,,BUF,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,23,19:17,1,0,1,0,100
