Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%,
46,2/23/19,46,33-214,BOS_C,@,STL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,4,0,23,18:33,1,4,3,9,25,
47,2/26/19,47,33-217,BOS_C,,SJS,W,0,1,1,1,0,0,0,0,0,0,0,1,0,,21,18:28,0,2,16,3,84.2,
48,2/28/19,48,33-219,BOS_C,,TBL,W,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,22,16:41,1,0,8,4,66.7,
49,3/2/19,49,33-221,BOS_C,,NJD,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0,19,16:11,0,0,9,7,56.3,
50,3/5/19,50,33-224,BOS_C,,CAR,W,1,0,1,0,2,0,0,1,0,0,0,0,2,50,25,18:45,2,0,11,8,57.9,
51,3/7/19,51,33-226,BOS_C,,FLA,W,2,0,2,2,0,1,0,1,1,0,0,0,2,100,24,18:58,0,1,13,9,59.1,
52,3/9/19,52,33-228,BOS_C,,OTT,W,0,1,1,-1,0,0,0,0,0,0,1,0,5,0,22,18:12,0,0,8,10,44.4,
53,3/10/19,53,33-229,BOS_C,@,PIT,L,0,0,0,-2,2,0,0,0,0,0,0,0,5,0,24,20:22,0,2,12,10,54.5,
54,3/12/19,54,33-231,BOS_C,@,CBJ,L,1,1,2,0,0,0,0,1,0,1,0,0,3,33.3,24,19:20,0,0,9,14,39.1,
55,3/14/19,55,33-233,BOS_C,@,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0,22,19:23,1,3,12,13,48,
56,3/16/19,56,33-235,BOS_C,,CBJ,W,1,1,2,1,0,0,1,0,0,1,0,0,4,25,27,18:51,0,0,14,9,60.9,
57,3/19/19,57,33-238,BOS_C,@,NYI,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25,20,14:36,0,0,13,9,59.1,
58,3/21/19,58,33-240,BOS_C,@,NJD,W,2,1,3,4,0,2,0,0,0,1,0,0,4,50,18,17:10,0,0,9,10,47.4,
59,3/23/19,59,33-242,BOS_C,@,FLA,W,1,1,2,3,0,1,0,0,0,1,0,0,6,16.7,23,17:27,1,0,6,10,37.5,
60,3/25/19,60,33-244,BOS_C,@,TBL,L,0,2,2,0,0,0,0,0,0,1,1,0,2,0,23,16:07,0,2,11,7,61.1,
61,3/27/19,61,33-246,BOS_C,,NYR,W,1,1,2,0,2,0,1,0,0,0,1,0,2,50,19,14:54,0,0,11,11,50,
62,3/30/19,62,33-249,BOS_C,,FLA,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0,21,15:42,0,1,15,11,57.7,
63,3/31/19,63,33-250,BOS_C,@,DET,L,0,1,1,-2,0,0,0,0,0,0,0,1,3,0,22,18:32,0,0,11,2,84.6,
64,4/2/19,64,33-252,BOS_C,@,CBJ,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0,19,14:49,0,1,8,11,42.1,
65,4/4/19,65,33-254,BOS_C,@,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0,18,17:16,1,1,7,4,63.6,
1,10/19/17,1,32-087,BOS_C,,VAN,W,1,3,4,2,0,0,1,0,0,2,1,0,6,16.7,27,20:58,1,0,8,8,50,
2,10/21/17,2,32-089,BOS_C,,BUF,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0,30,19:58,1,2,14,6,70,
3,10/26/17,3,32-094,BOS_C,,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0,28,22:23,1,2,16,14,53.3,
4,10/28/17,4,32-096,BOS_C,,LAK,L-OT,0,0,0,1,2,0,0,0,0,0,0,0,5,0,28,21:50,2,0,15,11,57.7,
